2018-07-14 10:19:54,10,2.50,24.60,-11.11,2.250,0.750,71
2018-07-14 10:19:55,10,3.55,27.56,18.11,2.000,4.250,95
2018-07-14 10:19:56,10,4.58,-18.83,22.42,1.500,2.750,117
2018-07-14 10:19:57,10,5.61,24.08,-4.28,1.500,3.000,66
2018-07-14 10:19:58,10,6.70,-19.00,35.99,1.750,3.500,63
2018-07-14 10:21:22,10,2.50,-26.68,-29.15,2.750,0.000,103
2018-07-14 10:21:23,10,3.57,-32.49,2.67,2.250,4.000,116
2018-07-14 10:21:25,10,4.70,2.96,37.16,2.500,4.250,62
2018-07-14 10:21:26,10,5.74,35.52,-7.48,1.500,2.250,68
2018-07-14 10:21:27,10,6.85,-36.06,-8.96,1.250,2.750,79
2018-07-14 10:23:42,10,2.21,-5.04,-14.80,2.250,4.250,94
2018-07-14 10:23:43,10,3.12,-8.97,1.44,1.500,2.250,93
2018-07-14 10:23:44,9,4.05,-70.23,6.12,1.250,2.000,97
2018-07-14 10:23:45,10,4.88,-11.46,-1.80,2.250,4.750,98
2018-07-14 10:23:46,10,5.70,-31.23,28.70,1.500,2.750,98
2018-07-14 10:25:45,10,2.12,3.16,11.11,2.250,4.000,90
2018-07-14 10:25:46,10,3.10,-35.93,-30.11,1.000,-0.250,89
2018-07-14 10:25:47,10,4.05,12.19,9.08,2.000,3.500,92
2018-07-14 10:25:48,10,4.95,-11.74,-29.68,2.000,3.500,90
2018-07-14 10:25:49,10,5.83,-15.78,16.04,1.000,0.750,70
2018-07-14 10:29:15,10,2.22,18.39,-27.93,2.000,3.750,80
2018-07-14 10:29:16,10,3.19,8.16,-25.83,2.250,3.500,93
2018-07-14 10:29:17,9,4.08,16.20,51.93,1.500,3.000,67
2018-07-14 10:29:18,10,4.94,8.91,24.97,1.250,1.000,63
2018-07-14 10:29:19,10,5.86,7.86,23.05,2.000,4.000,71
2018-07-14 10:30:56,9,2.38,52.86,-26.64,1.750,2.500,75
2018-07-14 10:30:57,10,3.38,-49.27,-6.63,1.750,3.500,74
2018-07-14 10:30:58,10,4.27,20.82,2.85,2.000,4.000,85
2018-07-14 10:30:58,10,5.12,-5.47,-46.14,1.500,1.250,85
2018-07-14 10:30:59,10,5.98,-11.07,-32.97,4.500,-10.250,97
2018-07-14 10:33:32,9,1.82,-55.45,-65.74,2.750,1.250,93
2018-07-14 10:33:33,10,2.41,-23.06,-44.13,1.750,3.250,100
2018-07-14 10:33:34,10,2.97,10.03,35.63,1.000,2.500,83
2018-07-14 10:33:34,10,3.51,8.81,27.35,1.000,1.250,83
2018-07-14 10:33:35,10,0.00,5.99,-39.87,1.000,0.000,81
2018-07-14 10:34:59,9,1.78,-30.64,44.42,3.000,2.750,81
2018-07-14 10:35:00,8,2.44,-59.47,-79.43,1.250,1.500,77
2018-07-14 10:35:00,10,3.02,-51.95,2.04,1.500,4.000,77
2018-07-14 10:35:01,10,3.60,-15.78,32.79,1.500,-5.500,68
2018-07-14 10:35:01,9,0.09,-60.90,-12.85,4.750,-15.250,68
2018-07-14 10:36:25,9,1.88,-36.42,-75.29,2.000,3.000,-1
2018-07-14 10:36:26,10,2.51,-9.58,-32.20,1.000,1.750,-1
2018-07-14 10:36:27,10,3.14,4.80,16.54,1.250,2.750,82
2018-07-14 10:36:27,10,3.73,22.30,8.89,1.000,0.750,82
2018-07-14 10:36:28,10,0.20,-48.22,-12.00,1.500,4.000,89
2018-07-14 10:37:53,10,1.83,23.87,-34.88,4.000,9.500,-1
2018-07-14 10:37:54,10,2.46,-39.77,4.94,8.250,5.750,-1
2018-07-14 10:37:54,10,3.04,-26.74,10.90,6.250,3.250,-1
2018-07-14 10:37:55,10,3.60,-22.78,-5.59,9.750,0.000,92
2018-07-14 10:37:55,9,0.06,-80.30,-39.43,8.750,-15.500,92
2018-07-14 10:39:17,8,1.76,-27.44,-92.31,2.750,-0.250,87
2018-07-14 10:39:18,9,2.37,51.14,24.23,2.000,3.750,76
2018-07-14 10:39:19,10,2.97,-10.89,17.70,1.250,3.250,88
2018-07-14 10:39:19,10,3.52,-42.89,9.64,1.000,3.000,88
2018-07-14 10:39:20,10,4.07,-4.32,-2.43,1.250,1.750,94
